,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,14.0,51,75,10.8,CL,1612649287
1,Mataura,-46.1927,168.8643,20.87,57,0,0.94,NZ,1612649114
2,Voi,-3.3945,38.563,23.51,79,63,1.64,KE,1612649287
3,Luleå,65.5842,22.1547,-11.0,92,40,5.66,SE,1612649287
4,Hong Kong,22.2855,114.1577,18.89,64,0,2.25,HK,1612649287
5,Bredasdorp,-34.5322,20.0403,20.0,77,75,2.06,ZA,1612649144
6,Hilo,19.7297,-155.09,27.0,44,1,3.09,US,1612649216
7,Atuona,-9.8,-139.0333,26.86,77,100,9.1,PF,1612649119
8,Severo-Kuril'sk,50.6789,156.125,-5.83,93,100,6.53,RU,1612649168
9,Tuatapere,-46.1333,167.6833,19.64,56,0,0.83,NZ,1612649287
10,Amethī,26.15,81.8167,10.56,64,0,2.82,IN,1612649288
11,Astorga,-23.2325,-51.6656,28.0,51,20,2.06,BR,1612649288
12,Hithadhoo,-0.6,73.0833,27.53,75,9,5.01,MV,1612649288
13,Ushuaia,-54.8,-68.3,12.0,71,40,8.75,AR,1612649288
14,Arraial do Cabo,-22.9661,-42.0278,22.0,94,75,1.54,BR,1612649288
15,Butaritari,3.0707,172.7902,27.36,80,100,9.55,KI,1612649288
16,Kimbe,-5.5502,150.1429,26.68,85,95,0.76,PG,1612649288
17,Iralaya,15.0,-83.2333,30.0,76,40,2.06,HN,1612649288
18,Newport,51.5877,-2.9984,4.44,92,35,5.89,GB,1612649289
19,Changji,44.0167,87.3167,-14.0,85,90,1.0,CN,1612649237
20,Hobart,-42.8794,147.3294,16.67,59,75,4.63,AU,1612649289
21,Te Anau,-45.4167,167.7167,18.58,56,6,0.98,NZ,1612649289
22,Zeya,53.75,127.2667,-27.75,81,0,1.97,RU,1612649289
23,Kirakira,-10.4544,161.9205,26.18,85,100,3.59,SB,1612649118
24,Kumul,42.8,93.45,-0.66,78,9,3.02,CN,1612649289
25,Nishihara,26.1842,127.7558,19.0,88,75,2.57,JP,1612649144
26,Lavrentiya,65.5833,-171.0,-22.05,79,0,1.64,RU,1612649289
27,Coahuayana Viejo,18.7333,-103.6833,27.0,57,1,3.05,MX,1612649289
28,Santo Antônio do Leverger,-15.8656,-56.0767,31.0,45,20,4.12,BR,1612649290
29,Vaini,-21.2,-175.2,28.0,89,75,3.09,TO,1612649290
30,Rikitea,-23.1203,-134.9692,25.66,70,100,4.45,PF,1612649290
31,Carnarvon,-24.8667,113.6333,26.0,100,40,5.66,AU,1612649114
32,Kapaa,22.0752,-159.319,23.33,49,20,3.09,US,1612649290
33,Port Alfred,-33.5906,26.891,20.56,92,58,3.13,ZA,1612649128
34,Bayanday,53.0661,105.5139,-15.53,89,100,0.72,RU,1612649290
35,Ponta do Sol,32.6667,-17.1,12.22,69,10,0.89,PT,1612649290
36,Bela Vista,-22.1089,-56.5211,23.31,72,0,1.06,BR,1612649290
37,Vrangel',42.7297,133.0839,-9.32,85,22,5.28,RU,1612649291
38,Bilma,18.6853,12.9164,18.0,25,89,2.82,NE,1612649291
39,Spearfish,44.4908,-103.8594,-12.22,78,20,3.6,US,1612649291
40,Mukhen,48.1,136.1,-26.04,88,99,0.8,RU,1612649291
41,Miandrivazo,-19.5167,45.4667,26.3,79,100,1.84,MG,1612649291
42,Avarua,-21.2078,-159.775,29.0,74,60,5.14,CK,1612649126
43,Tsimmerbude,54.675,20.1347,-17.0,85,0,1.0,RU,1612649291
44,Caucaia,-3.7361,-38.6531,27.78,78,20,4.63,BR,1612649292
45,Bluff,-46.6,168.3333,15.35,69,2,0.79,NZ,1612649119
46,Faanui,-16.4833,-151.75,27.8,67,2,4.79,PF,1612649116
47,Ipoh,4.5841,101.0829,24.0,94,40,1.5,MY,1612649292
48,Kaitangata,-46.2817,169.8464,17.79,67,1,2.0,NZ,1612649292
49,Guangyuan,32.442,105.823,-0.56,73,95,1.91,CN,1612649292
50,Cape Town,-33.9258,18.4232,22.22,78,20,5.14,ZA,1612649292
51,Puerto Ayora,-0.7393,-90.3518,30.0,62,0,7.2,EC,1612649292
52,Deder,9.3167,41.45,10.37,79,38,2.84,ET,1612649292
53,Jamestown,42.097,-79.2353,-6.0,45,1,4.63,US,1612649292
54,Pangnirtung,66.1451,-65.7125,-4.84,80,78,1.13,CA,1612649292
55,Koslan,63.4564,48.8989,-26.64,86,100,4.64,RU,1612649293
56,Rokytne,51.2796,27.214,-12.73,90,0,2.38,UA,1612649293
